Training...

EPOCH  72/160: train_acc=0.994, valid_acc=0.956, LR=0.00000781, global_step=143136
EPOCH  73/160: train_acc=0.994, valid_acc=0.958, LR=0.00000781, global_step=145152
EPOCH  74/160: train_acc=0.994, valid_acc=0.957, LR=0.00000781, global_step=147168
EPOCH  75/160: train_acc=0.994, valid_acc=0.955, LR=0.00000781, global_step=149184
EPOCH  76/160: train_acc=0.994, valid_acc=0.957, LR=0.00000781, global_step=151200
EPOCH  77/160: train_acc=0.994, valid_acc=0.959, LR=0.00000781, global_step=153216
EPOCH  78/160: train_acc=0.994, valid_acc=0.959, LR=0.00000781, global_step=155232
EPOCH  79/160: train_acc=0.994, valid_acc=0.957, LR=0.00000781, global_step=157248
EPOCH  80/160: train_acc=0.994, valid_acc=0.962, LR=0.00000781, global_step=159264
EPOCH  81/160: train_acc=0.994, valid_acc=0.958, LR=0.00000391, global_step=161280
EPOCH  82/160: train_acc=0.994, valid_acc=0.960, LR=0.00000391, global_step=163296
EPOCH  83/160: train_acc=0.994, valid_acc=0.957, LR=0.00000391, global_step=165312
EPOCH  84/160: train_acc=0.994, valid_acc=0.961, LR=0.00000391, global_step=167328
EPOCH  85/160: train_acc=0.994, valid_acc=0.960, LR=0.00000391, global_step=169344
EPOCH  86/160: train_acc=0.994, valid_acc=0.958, LR=0.00000391, global_step=171360
EPOCH  87/160: train_acc=0.994, valid_acc=0.962, LR=0.00000391, global_step=173376
EPOCH  88/160: train_acc=0.994, valid_acc=0.961, LR=0.00000391, global_step=175392
EPOCH  89/160: train_acc=0.995, valid_acc=0.957, LR=0.00000391, global_step=177408
EPOCH  90/160: train_acc=0.994, valid_acc=0.963, LR=0.00000391, global_step=179424
EPOCH  91/160: train_acc=0.994, valid_acc=0.958, LR=0.00000195, global_step=181440
EPOCH  92/160: train_acc=0.994, valid_acc=0.960, LR=0.00000195, global_step=183456
EPOCH  93/160: train_acc=0.994, valid_acc=0.957, LR=0.00000195, global_step=185472
EPOCH  94/160: train_acc=0.994, valid_acc=0.959, LR=0.00000195, global_step=187488
EPOCH  95/160: train_acc=0.994, valid_acc=0.959, LR=0.00000195, global_step=189504
EPOCH  96/160: train_acc=0.994, valid_acc=0.959, LR=0.00000195, global_step=191520
EPOCH  97/160: train_acc=0.995, valid_acc=0.958, LR=0.00000195, global_step=193536
EPOCH  98/160: train_acc=0.994, valid_acc=0.959, LR=0.00000195, global_step=195552
EPOCH  99/160: train_acc=0.994, valid_acc=0.955, LR=0.00000195, global_step=197568
EPOCH 100/160: train_acc=0.994, valid_acc=0.959, LR=0.00000195, global_step=199584
EPOCH 101/160: train_acc=0.994, valid_acc=0.959, LR=0.00000098, global_step=201600
EPOCH 102/160: train_acc=0.994, valid_acc=0.964, LR=0.00000098, global_step=203616
EPOCH 103/160: train_acc=0.994, valid_acc=0.956, LR=0.00000098, global_step=205632
EPOCH 104/160: train_acc=0.995, valid_acc=0.961, LR=0.00000098, global_step=207648
EPOCH 105/160: train_acc=0.994, valid_acc=0.961, LR=0.00000098, global_step=209664
EPOCH 106/160: train_acc=0.994, valid_acc=0.958, LR=0.00000098, global_step=211680
EPOCH 107/160: train_acc=0.995, valid_acc=0.958, LR=0.00000098, global_step=213696
EPOCH 108/160: train_acc=0.994, valid_acc=0.958, LR=0.00000098, global_step=215712
EPOCH 109/160: train_acc=0.994, valid_acc=0.960, LR=0.00000098, global_step=217728
EPOCH 110/160: train_acc=0.994, valid_acc=0.959, LR=0.00000098, global_step=219744
EPOCH 111/160: train_acc=0.994, valid_acc=0.956, LR=0.00000049, global_step=221760
EPOCH 112/160: train_acc=0.994, valid_acc=0.959, LR=0.00000049, global_step=223776
EPOCH 113/160: train_acc=0.994, valid_acc=0.958, LR=0.00000049, global_step=225792
EPOCH 114/160: train_acc=0.994, valid_acc=0.957, LR=0.00000049, global_step=227808
EPOCH 115/160: train_acc=0.994, valid_acc=0.962, LR=0.00000049, global_step=229824
EPOCH 116/160: train_acc=0.994, valid_acc=0.957, LR=0.00000049, global_step=231840
EPOCH 117/160: train_acc=0.994, valid_acc=0.955, LR=0.00000049, global_step=233856
EPOCH 118/160: train_acc=0.994, valid_acc=0.957, LR=0.00000049, global_step=235872
EPOCH 119/160: train_acc=0.994, valid_acc=0.963, LR=0.00000049, global_step=237888
EPOCH 120/160: train_acc=0.994, valid_acc=0.959, LR=0.00000049, global_step=239904
EPOCH 121/160: train_acc=0.994, valid_acc=0.957, LR=0.00000024, global_step=241920
EPOCH 122/160: train_acc=0.994, valid_acc=0.960, LR=0.00000024, global_step=243936
EPOCH 123/160: train_acc=0.994, valid_acc=0.958, LR=0.00000024, global_step=245952
EPOCH 124/160: train_acc=0.995, valid_acc=0.958, LR=0.00000024, global_step=247968
EPOCH 125/160: train_acc=0.994, valid_acc=0.958, LR=0.00000024, global_step=249984
EPOCH 126/160: train_acc=0.994, valid_acc=0.960, LR=0.00000024, global_step=252000
EPOCH 127/160: train_acc=0.994, valid_acc=0.961, LR=0.00000024, global_step=254016
EPOCH 128/160: train_acc=0.994, valid_acc=0.956, LR=0.00000024, global_step=256032
EPOCH 129/160: train_acc=0.994, valid_acc=0.956, LR=0.00000024, global_step=258048
EPOCH 130/160: train_acc=0.994, valid_acc=0.958, LR=0.00000024, global_step=260064
EPOCH 131/160: train_acc=0.994, valid_acc=0.960, LR=0.00000012, global_step=262080
EPOCH 132/160: train_acc=0.994, valid_acc=0.959, LR=0.00000012, global_step=264096
EPOCH 133/160: train_acc=0.994, valid_acc=0.957, LR=0.00000012, global_step=266112
EPOCH 134/160: train_acc=0.995, valid_acc=0.960, LR=0.00000012, global_step=268128
EPOCH 135/160: train_acc=0.994, valid_acc=0.958, LR=0.00000012, global_step=270144
EPOCH 136/160: train_acc=0.994, valid_acc=0.960, LR=0.00000012, global_step=272160
EPOCH 137/160: train_acc=0.994, valid_acc=0.957, LR=0.00000012, global_step=274176
EPOCH 138/160: train_acc=0.994, valid_acc=0.958, LR=0.00000012, global_step=276192
EPOCH 139/160: train_acc=0.994, valid_acc=0.957, LR=0.00000012, global_step=278208
EPOCH 140/160: train_acc=0.994, valid_acc=0.956, LR=0.00000012, global_step=280224
EPOCH 141/160: train_acc=0.994, valid_acc=0.958, LR=0.00000006, global_step=282240
EPOCH 142/160: train_acc=0.994, valid_acc=0.959, LR=0.00000006, global_step=284256
EPOCH 143/160: train_acc=0.994, valid_acc=0.961, LR=0.00000006, global_step=286272
EPOCH 144/160: train_acc=0.994, valid_acc=0.957, LR=0.00000006, global_step=288288
EPOCH 145/160: train_acc=0.995, valid_acc=0.961, LR=0.00000006, global_step=290304
